  'm-h': `X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
0.964383562	53.22	9.71	11.42	15.01	12.31	8.77	5.56
0.967123288	53.22	9.71	11.42	14.91	12.41	8.78	5.56
0.969863014	53.22	10.25	10.74	15.04	12.41	8.79	5.55
0.972602740	53.22	10.25	10.74	15.04	12.41	8.79	5.55
0.975342466	53.22	10.25	10.81	14.98	12.41	8.79	5.55
0.978082192	53.23	10.24	10.74	15.04	12.42	8.78	5.55
0.980821918	53.23	10.28	10.71	15.04	12.42	8.77	5.55
0.983561644	53.23	10.28	10.71	15.04	12.42	8.77	5.55
0.986301370	53.23	10.28	10.71	15.02	12.42	8.81	5.55
0.989041096	53.16	10.35	10.71	15.02	12.42	8.81	5.55
0.991780822	53.16	10.35	10.68	15.05	12.42	8.81	5.55
0.994520548	53.16	10.35	10.70	15.01	12.43	8.81	5.55
0.997260274	53.16	10.35	10.70	15.02	12.42	8.81	5.55
1.000000000	53.16	10.08	10.97	15.01	12.42	8.81	5.55
1.002739726	53.16	10.08	10.97	15.01	12.39	8.84	5.55
1.005479452	53.16	10.07	10.97	15.01	12.39	8.84	5.55
1.008219178	53.16	10.07	10.97	15.01	12.39	8.86	5.53
1.010958904	53.16	10.07	10.97	15.01	12.39	8.86	5.53
1.013698630	53.11	10.12	11.00	14.99	12.39	8.86	5.53
1.016438356	53.11	10.22	10.90	14.99	12.36	8.89	5.53
1.019178082	53.11	10.22	11.09	14.86	12.30	8.92	5.51
1.021917808	53.11	10.16	11.10	14.91	12.30	8.92	5.51
1.024657534	53.11	10.16	11.20	14.81	12.30	8.92	5.51
1.027397260	53.11	10.16	11.20	14.81	12.45	8.77	5.51
1.030136986	53.11	10.16	11.20	14.81	12.45	8.75	5.53
1.032876712	53.11	10.16	11.20	14.81	12.37	8.83	5.52
1.035616438	53.11	10.09	11.29	14.79	12.37	8.83	5.52
1.038356164	53.11	10.09	11.29	14.79	12.37	8.83	5.53
1.041095890	53.11	10.08	11.30	14.79	12.37	8.83	5.53
1.043835616	53.11	10.08	11.30	14.79	12.37	8.83	5.53
1.046575342	53.11	10.01	11.37	14.79	12.35	8.82	5.55
1.049315068	53.11	10.01	11.37	14.79	12.35	8.82	5.55
1.052054795	53.06	10.06	11.37	14.79	12.66	8.51	5.55
1.054794521	53.06	10.06	11.37	14.75	12.70	8.51	5.55
1.057534247	53.06	10.06	11.37	14.75	12.70	8.51	5.55
1.060273973	53.06	9.99	11.44	14.75	12.70	8.51	5.55
1.063013699	52.94	10.11	11.44	14.75	12.70	8.49	5.57
1.065753425	52.94	10.10	11.25	14.95	12.70	8.49	5.56
1.068493151	52.92	10.12	11.25	15.09	12.47	8.59	5.56
1.071232877	52.92	10.05	11.31	15.09	12.47	8.59	5.56
1.073972603	52.92	10.05	11.31	15.09	12.47	8.59	5.56
1.076712329	52.92	10.05	11.48	14.78	12.61	8.59	5.56
1.079452055	52.92	10.05	11.48	14.78	12.61	8.57	5.15
1.082191781	52.92	10.05	11.48	14.78	12.61	8.52	5.20
1.084931507	52.92	9.98	11.55	14.78	12.64	8.48	5.20
1.087671233	52.92	9.98	11.55	14.78	12.64	8.40	5.28
1.090410959	52.94	9.97	11.56	14.76	12.66	8.40	5.28
1.093150685	52.94	9.96	11.56	14.76	12.61	8.45	5.28
1.095890411	52.94	9.89	11.63	14.69	12.59	8.54	5.28
1.098630137	52.94	9.54	11.98	14.69	12.59	8.54	5.28
1.101369863	52.94	9.54	11.98	14.69	12.59	8.54	5.28
1.104109589	52.98	9.49	11.98	14.72	12.56	8.50	5.32
